date,cpi_pct_change
1/1/2010,6.77
1/1/2011,4.87
1/1/2012,9.28
1/1/2013,4.63
1/1/2014,1.35
1/1/2015,4.61
1/1/2016,4.41
1/1/2017,7.11
1/1/2018,2.8
1/1/2019,4.84
1/1/2020,4.23
1/1/2021,12.09
1/1/2022,54.53
1/1/2023,16.54
1/1/2024,-0.43
