year,trading_date,trading_code,closing_price
2015,2015-01-02,COSMETICS_IDX,0.6467977549745187
2015,2015-01-06,COSMETICS_IDX,0.6191687867205505
2015,2015-01-07,COSMETICS_IDX,0.6374888925406563
2015,2015-01-08,COSMETICS_IDX,0.641572887249651
2015,2015-01-09,COSMETICS_IDX,0.6632081385724024
2015,2015-01-12,COSMETICS_IDX,0.6528328078845717
2015,2015-01-13,COSMETICS_IDX,0.649939289366053
2015,2015-01-16,COSMETICS_IDX,0.635025268202032
2015,2015-01-19,COSMETICS_IDX,0.625947887249651
2015,2015-01-20,COSMETICS_IDX,0.5963265248157886
2015,2015-01-21,COSMETICS_IDX,0.6191935883078521
2015,2015-01-22,COSMETICS_IDX,0.6126542364560003
2015,2015-01-23,COSMETICS_IDX,0.6124392893660532
2015,2015-01-26,COSMETICS_IDX,0.615134395186159
2015,2015-01-27,COSMETICS_IDX,0.6204667364560003
2015,2015-01-28,COSMETICS_IDX,0.6270391570909208
2015,2015-01-29,COSMETICS_IDX,0.6362157443925082
2015,2015-01-30,COSMETICS_IDX,0.663910850212614
2015,2015-02-02,COSMETICS_IDX,0.6236082708475347
2015,2015-02-05,COSMETICS_IDX,0.6262124375142012
2015,2015-02-06,COSMETICS_IDX,0.6303625697893336
2015,2015-02-09,COSMETICS_IDX,0.6257577417470055
2015,2015-02-10,COSMETICS_IDX,0.6252534428052066
2015,2015-02-11,COSMETICS_IDX,0.6331486147628785
2015,2015-02-12,COSMETICS_IDX,0.6323301623819262
2015,2015-02-13,COSMETICS_IDX,0.6392746068263706
2015,2015-02-16,COSMETICS_IDX,0.6434330062972701
2015,2015-02-18,COSMETICS_IDX,0.6373648846041483
2015,2015-02-19,COSMETICS_IDX,0.6386132311649949
2015,2015-02-20,COSMETICS_IDX,0.6354551623819261
2015,2015-02-23,COSMETICS_IDX,0.6188050301067939
2015,2015-02-24,COSMETICS_IDX,0.6215828078845717
2015,2015-02-25,COSMETICS_IDX,0.6201360486253124
2015,2015-02-26,COSMETICS_IDX,0.6231122391015028
2015,2015-02-27,COSMETICS_IDX,0.6179369745512383
2015,2015-03-02,COSMETICS_IDX,0.6112736147628784
2015,2015-03-03,COSMETICS_IDX,0.6072805592073229
2015,2015-03-04,COSMETICS_IDX,0.6067927946570585
2015,2015-03-06,COSMETICS_IDX,0.6047177285194922
2015,2015-03-09,COSMETICS_IDX,0.5668126359268997
2015,2015-03-10,COSMETICS_IDX,0.6050649507417145
2015,2015-03-11,COSMETICS_IDX,0.5967316174083811
2015,2015-03-12,COSMETICS_IDX,0.5947557576200214
2015,2015-03-13,COSMETICS_IDX,0.5902749375142012
2015,2015-03-16,COSMETICS_IDX,0.5784280459798098
2015,2015-03-17,COSMETICS_IDX,0.5823136279903918
2015,2015-03-18,COSMETICS_IDX,0.5773533105300742
2015,2015-03-19,COSMETICS_IDX,0.5475914057681696
2015,2015-03-20,COSMETICS_IDX,0.5825120406888045
2015,2015-03-23,COSMETICS_IDX,0.5863645539163177
2015,2015-03-24,COSMETICS_IDX,0.5774607840750479
2015,2015-03-25,COSMETICS_IDX,0.5775765248157886
2015,2015-03-26,COSMETICS_IDX,0.6145970274612912
2015,2015-03-27,COSMETICS_IDX,0.6121582047099685
2015,2015-03-30,COSMETICS_IDX,0.5723103211120849
2015,2015-03-31,COSMETICS_IDX,0.5708139586782225
2015,2015-04-01,COSMETICS_IDX,0.5732197126464764
2015,2015-04-02,COSMETICS_IDX,0.49369557973837114
2015,2015-04-06,COSMETICS_IDX,0.4941833442886357
2015,2015-04-07,COSMETICS_IDX,0.4953738204791118
2015,2015-04-08,COSMETICS_IDX,0.4595184690167819
2015,2015-04-09,COSMETICS_IDX,0.4578236938845068
2015,2015-04-10,COSMETICS_IDX,0.45478963303794595
