date,dex_sl_us
3/4/2020,181.95
3/5/2020,181.8
3/6/2020,181.85
3/9/2020,181.55
3/10/2020,182.4
3/11/2020,182.49
3/12/2020,182.75
3/13/2020,183.61
3/16/2020,183.9
3/17/2020,184.8
3/18/2020,185.65
3/19/2020,186.33
3/20/2020,187
3/23/2020,186.69
3/24/2020,186.69
3/25/2020,186.69
3/26/2020,186.69
3/27/2020,186.69
3/30/2020,186.69
3/31/2020,186.69
4/1/2020,186.69
4/2/2020,186.69
4/3/2020,190.1
4/6/2020,193
4/7/2020,191.6
4/8/2020,191.6
4/9/2020,190.5
4/10/2020,191.6
4/13/2020,191.6
4/14/2020,191.6
4/15/2020,191.6
4/16/2020,191.5
4/17/2020,191.5
4/20/2020,192
4/21/2020,192
4/22/2020,193
4/23/2020,192.5
4/24/2020,192.41
4/27/2020,192.33
4/28/2020,192.2
4/29/2020,191.88
4/30/2020,191.88
5/1/2020,191.88
5/4/2020,190.21
5/5/2020,188.6
5/6/2020,187.58
5/7/2020,187.58
5/8/2020,187.58
5/11/2020,188
5/12/2020,188
5/13/2020,188
5/14/2020,187.5
5/15/2020,187.42
5/18/2020,187.4
5/19/2020,187.4
5/20/2020,187
5/21/2020,186.5
5/22/2020,185.5
5/26/2020,186
5/27/2020,186.2
5/28/2020,186.3
5/29/2020,186.2
6/1/2020,186
6/2/2020,185.8
6/3/2020,185.75
6/4/2020,185.4
6/5/2020,185.33
6/8/2020,185.05
6/9/2020,185
6/10/2020,185
6/11/2020,185.1
6/12/2020,185.2
6/15/2020,185.9
6/16/2020,186
6/17/2020,186.41
6/18/2020,186.55
6/19/2020,186.17
6/22/2020,186.55
6/23/2020,186.5
6/24/2020,186.53
6/25/2020,186.35
6/26/2020,186.33
6/29/2020,186.1
6/30/2020,186.13
7/1/2020,186.15
7/2/2020,186.05
7/6/2020,185.75
7/7/2020,185.85
7/8/2020,185.75
7/9/2020,185.63
7/10/2020,185.63
7/13/2020,185.85
7/14/2020,185.8
7/15/2020,185.8
7/16/2020,185.7
7/17/2020,185.7
7/20/2020,185.75
7/21/2020,185.75
7/22/2020,185.75
7/23/2020,185.75
7/24/2020,185.75
7/27/2020,185.7
7/28/2020,185.75
7/29/2020,185.7
7/30/2020,185.6
7/31/2020,185.07
8/3/2020,185.07
8/4/2020,185.5
8/5/2020,185.45
8/6/2020,185.4
8/7/2020,185.2
8/10/2020,184.7
8/11/2020,183.95
8/12/2020,182.9
8/13/2020,182.8
8/14/2020,183.13
8/17/2020,183.13
8/18/2020,184.23
8/19/2020,186.1
8/20/2020,184.35
8/21/2020,184.5
8/24/2020,184.9
8/25/2020,186.4
8/26/2020,186.2
8/27/2020,185.9
8/28/2020,186.3
8/31/2020,185.8
9/1/2020,185.8
9/2/2020,185.2
9/3/2020,185.3
9/4/2020,185.05
9/8/2020,184.25
9/9/2020,184.35
9/10/2020,184.7
9/11/2020,184.45
9/14/2020,184.2
9/15/2020,184.3
9/16/2020,184.9
